SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J125858.72+043011.9,194.74471,4.50336,0.145,11.22(0.15),17.433(0.008),17.021(0.007),22.59(0.10),22.57(0.12),-2.14(0.21) 
J125929.91-002853.4,194.87464,-0.48152,0.140,11.01(0.16),17.348(0.007),16.919(0.006),21.71(0.06),21.33(0.05),-1.76(0.20) 
J125936.86+013837.1,194.90360,1.64366,0.124,11.03(0.10),17.304(0.007),16.866(0.006),24.38(0.26),99.00(99.00),-3.13(0.22) 
J125940.92+025911.8,194.92056,2.98662,0.136,11.19(0.13),16.935(0.006),16.517(0.005),22.64(0.10),21.98(0.08),-2.23(0.21) 
J125941.02-003507.1,194.92095,-0.58534,0.106,11.06(0.12),16.721(0.006),16.281(0.005),21.35(0.06),20.86(0.04),-1.85(0.20) 
J125941.43+042931.4,194.92262,4.49208,0.111,11.21(0.11),16.671(0.005),16.234(0.004),23.79(0.18),22.61(0.11),-2.68(0.22) 
J125947.74+010221.1,194.94894,1.03921,0.132,11.41(0.12),16.226(0.004),15.768(0.004),20.01(0.03),19.90(0.03),-1.59(0.18) 
J130020.31+043747.4,195.08463,4.62986,0.110,11.48(0.09),15.936(0.004),15.445(0.003),19.78(0.03),20.36(0.04),-1.71(0.19) 
J130029.44+003556.0,195.12269,0.59891,0.079,11.06(0.15),15.623(0.003),15.214(0.003),21.77(0.07),21.15(0.05),-2.42(0.21) 
J130034.08+011154.8,195.14205,1.19858,0.080,11.07(0.11),16.138(0.004),15.826(0.004),21.10(0.05),22.25(0.10),-2.19(0.21) 
J130035.75-014247.2,195.14898,-1.71313,0.120,11.39(0.12),16.299(0.005),15.902(0.004),23.13(0.13),22.78(0.12),-2.74(0.22) 
J130043.14+023552.6,195.17980,2.59794,0.123,11.16(0.13),17.072(0.007),16.629(0.005),21.20(0.05),21.67(0.07),-1.80(0.20) 
J130048.89+024943.1,195.20374,2.82864,0.128,11.34(0.14),16.616(0.005),16.226(0.004),21.50(0.06),21.45(0.07),-2.02(0.21) 
J130058.52+005016.7,195.24383,0.83801,0.082,11.44(0.15),15.785(0.004),15.352(0.003),25.09(0.33),99.00(99.00),-4.09(0.22) 
J130104.91+010428.0,195.27051,1.07447,0.082,11.16(0.12),16.398(0.005),15.916(0.004),23.30(0.16),24.68(0.31),-2.99(0.22) 
J130106.97+004211.2,195.27906,0.70313,0.081,11.34(0.11),15.885(0.004),15.461(0.003),21.58(0.06),21.13(0.05),-2.27(0.21) 
J130108.66+001909.1,195.28611,0.31919,0.133,11.32(0.11),16.904(0.006),16.450(0.005),21.66(0.06),21.22(0.05),-1.91(0.20) 
J130112.93+022836.6,195.30391,2.47685,0.126,11.05(0.17),17.173(0.007),16.698(0.006),22.41(0.10),22.22(0.10),-2.15(0.21) 
J130122.98+010642.6,195.34580,1.11186,0.078,11.29(0.09),15.824(0.004),15.370(0.003),22.53(0.10),23.35(0.16),-2.87(0.22) 
J130134.06+005358.1,195.39197,0.89952,0.079,11.03(0.13),16.321(0.005),15.757(0.004),99.00(99.00),21.38(0.06),-2.55(0.22) 
J130143.15-005409.0,195.42985,-0.90252,0.085,11.11(0.10),16.160(0.004),15.830(0.004),20.74(0.04),20.55(0.04),-1.87(0.20) 
J130202.24+001956.3,195.50938,0.33232,0.125,11.03(0.13),17.312(0.007),16.856(0.006),24.72(0.29),23.35(0.16),-2.74(0.22) 
J130232.45+003620.3,195.63525,0.60567,0.146,11.44(0.18),16.967(0.006),16.507(0.005),20.68(0.04),20.60(0.04),-1.57(0.18) 
J130236.04+011109.4,195.65024,1.18597,0.144,11.53(0.10),16.562(0.005),16.123(0.004),22.79(0.12),22.49(0.12),-2.52(0.22) 
J130238.42-022038.5,195.66012,-2.34404,0.087,11.06(0.10),16.613(0.005),16.171(0.004),24.20(0.29),22.62(0.14),-2.75(0.22) 
J130259.28+045157.6,195.74704,4.86601,0.140,11.24(0.09),17.367(0.008),16.878(0.006),23.83(0.19),23.69(0.23),-2.65(0.22) 
J130317.10+050101.2,195.82126,5.01701,0.140,11.16(0.10),17.540(0.009),17.126(0.007),99.00(99.00),25.09(0.64),-3.53(0.22) 
J130335.64+003347.9,195.89853,0.56331,0.147,11.28(0.13),17.114(0.007),16.660(0.005),24.54(0.29),23.63(0.19),-2.87(0.22) 
J130337.59-010019.5,195.90667,-1.00542,0.084,11.08(0.12),16.253(0.004),15.841(0.004),21.59(0.06),21.33(0.06),-2.17(0.21) 
J130356.97+003146.5,195.98741,0.52959,0.125,11.45(0.14),16.809(0.006),16.291(0.005),22.84(0.12),21.64(0.06),-2.26(0.21) 
J130421.95+004704.3,196.09150,0.78452,0.133,11.02(0.15),17.451(0.008),17.027(0.006),22.72(0.11),22.42(0.11),-2.14(0.21) 
J130440.37-012651.7,196.16826,-1.44771,0.108,11.34(0.13),16.176(0.004),15.802(0.004),21.62(0.06),21.37(0.06),-2.20(0.21) 
J130504.63+044419.8,196.26932,4.73885,0.111,11.54(0.09),15.809(0.004),15.414(0.003),21.69(0.07),23.01(0.15),-2.57(0.22) 
J130518.80+040212.8,196.32838,4.03690,0.101,11.31(0.09),16.189(0.004),15.818(0.004),21.78(0.07),21.03(0.05),-2.16(0.21) 
J130527.83+023142.7,196.36597,2.52855,0.109,11.45(0.17),16.425(0.005),15.996(0.004),20.62(0.04),20.20(0.03),-1.69(0.19) 
J130529.23+041016.5,196.37182,4.17125,0.110,11.04(0.12),16.904(0.006),16.509(0.005),22.47(0.11),22.28(0.10),-2.27(0.21) 
J130551.82+004358.7,196.46599,0.73297,0.091,11.20(0.10),16.085(0.004),15.666(0.003),21.75(0.07),21.84(0.08),-2.36(0.21) 
J130554.87-003413.5,196.47868,-0.57044,0.141,11.36(0.11),16.822(0.006),16.349(0.005),22.05(0.08),22.25(0.10),-2.21(0.21) 
J130611.63-013719.3,196.54847,-1.62205,0.117,11.37(0.12),16.300(0.005),15.889(0.004),21.52(0.06),21.32(0.06),-2.13(0.21) 
J130632.39+023545.4,196.63498,2.59599,0.141,11.19(0.09),17.469(0.008),17.025(0.006),25.40(0.43),24.63(0.32),-3.10(0.22) 
J130645.06-015014.7,196.68779,-1.83743,0.084,11.12(0.12),16.057(0.004),15.677(0.003),20.83(0.04),20.59(0.05),-1.94(0.20) 
J130715.32+000939.9,196.81386,0.16110,0.138,11.17(0.10),17.263(0.007),16.819(0.006),22.31(0.09),21.89(0.08),-2.03(0.21) 
J130715.66+014301.9,196.81528,1.71720,0.140,11.17(0.18),17.634(0.009),17.179(0.007),22.65(0.11),21.95(0.08),-1.96(0.20) 
J130733.30+014128.4,196.88879,1.69126,0.134,11.05(0.12),17.436(0.008),17.060(0.007),23.42(0.16),22.83(0.14),-2.35(0.21) 
J130733.77+034820.6,196.89071,3.80574,0.101,11.29(0.17),15.903(0.004),15.723(0.004),18.29(0.01),18.24(0.01),-1.02(0.09) 
J130734.71+015125.9,196.89467,1.85724,0.142,11.21(0.22),17.260(0.007),16.841(0.006),23.69(0.17),22.55(0.11),-2.41(0.21) 
J130752.77+031059.0,196.96992,3.18305,0.134,11.15(0.13),17.298(0.008),16.859(0.006),21.20(0.05),21.34(0.06),-1.67(0.19) 
J130802.67+015136.5,197.01113,1.86015,0.095,11.05(0.09),16.802(0.006),16.378(0.005),23.09(0.14),22.77(0.13),-2.54(0.22) 
J130816.68-003007.5,197.06953,-0.50211,0.143,11.26(0.10),16.710(0.006),16.367(0.005),24.76(0.23),99.00(99.00),-3.53(0.22) 
J130831.28-002213.0,197.13039,-0.37027,0.083,11.76(0.14),14.930(0.002),14.672(0.002),18.17(0.01),19.03(0.02),-1.48(0.17) 
J130919.09-013721.1,197.32957,-1.62254,0.083,11.95(0.10),14.259(0.002),13.863(0.002),18.36(0.01),17.99(0.01),-1.65(0.19) 
J130920.98-014602.2,197.33743,-1.76728,0.143,11.28(0.12),17.506(0.008),17.081(0.007),22.75(0.12),22.76(0.14),-2.18(0.21) 
J130922.51-014257.5,197.34378,-1.71598,0.143,11.45(0.11),16.808(0.006),16.386(0.005),22.57(0.10),23.05(0.15),-2.45(0.22) 
J130930.04+003053.7,197.37518,0.51495,0.141,11.60(0.10),16.159(0.004),15.729(0.004),21.44(0.06),21.37(0.06),-2.18(0.21) 
J130930.32-003840.4,197.37636,-0.64459,0.081,11.04(0.10),16.374(0.005),15.939(0.004),22.72(0.11),22.88(0.12),-2.64(0.22) 
J130932.07+022745.7,197.38367,2.46272,0.138,11.45(0.12),16.860(0.006),16.419(0.005),21.80(0.07),21.45(0.06),-2.00(0.21) 
J130933.08-015525.6,197.38785,-1.92379,0.143,11.20(0.12),17.429(0.008),16.993(0.007),24.66(0.28),24.20(0.31),-2.89(0.22) 
J130942.58-004921.8,197.42747,-0.82272,0.119,11.27(0.17),16.541(0.005),16.389(0.005),19.03(0.02),20.37(0.03),-1.23(0.14) 
J130956.57-014149.9,197.48572,-1.69719,0.138,11.26(0.15),16.821(0.006),16.367(0.005),22.05(0.08),22.28(0.13),-2.21(0.21) 
J131004.84+043108.1,197.52022,4.51896,0.142,11.13(0.15),17.305(0.007),16.909(0.006),21.56(0.06),21.28(0.06),-1.73(0.19) 
J131014.75-004755.3,197.56149,-0.79870,0.119,11.12(0.10),17.175(0.007),16.718(0.006),24.51(0.25),24.68(0.31),-3.04(0.22) 
J131025.84+003238.1,197.60768,0.54395,0.124,11.20(0.10),17.090(0.007),16.623(0.005),22.09(0.08),22.33(0.10),-2.12(0.21) 
J131027.25+015402.0,197.61357,1.90058,0.142,11.22(0.12),17.019(0.006),16.623(0.005),20.56(0.04),20.27(0.03),-1.45(0.17) 
J131033.77+031934.8,197.64073,3.32633,0.111,11.19(0.11),16.839(0.006),16.368(0.005),25.11(0.51),21.46(0.08),-2.32(0.21) 
J131033.77+030418.0,197.64075,3.07168,0.085,11.03(0.12),16.577(0.005),16.124(0.004),22.35(0.10),21.82(0.09),-2.29(0.21) 
J131035.58+040849.6,197.64830,4.14714,0.098,11.33(0.11),15.902(0.004),15.532(0.003),21.09(0.05),21.07(0.05),-2.14(0.21) 
J131042.97+005331.5,197.67907,0.89211,0.096,11.43(0.10),15.901(0.004),15.436(0.003),23.80(0.18),99.00(99.00),-3.46(0.22) 
J131049.92-010130.3,197.70804,-1.02506,0.139,11.43(0.11),16.633(0.005),16.205(0.004),21.94(0.08),21.83(0.08),-2.18(0.21) 
J131104.15-002955.4,197.76732,-0.49870,0.139,11.58(0.15),16.473(0.005),16.073(0.004),20.74(0.04),20.63(0.04),-1.77(0.20) 
J131106.90+033822.4,197.77882,3.63957,0.085,11.27(0.12),15.821(0.004),15.443(0.003),22.40(0.09),22.50(0.12),-2.72(0.22) 
J131123.33+044126.3,197.84727,4.69065,0.097,11.12(0.17),16.589(0.005),16.148(0.004),21.42(0.06),20.82(0.04),-1.91(0.20) 
J131131.44+041844.2,197.88104,4.31230,0.117,11.05(0.12),17.386(0.008),16.972(0.007),23.59(0.18),99.00(99.00),-2.79(0.22) 
J131133.23+014007.1,197.88847,1.66866,0.142,11.10(0.13),17.348(0.008),16.938(0.017),23.12(0.14),23.40(1.45),-2.43(0.21) 
J131202.19+044718.5,198.00919,4.78849,0.142,11.36(0.10),17.042(0.007),16.607(0.005),23.27(0.16),22.58(0.12),-2.44(0.21) 
J131211.92+045054.5,198.04971,4.84847,0.143,11.08(0.10),17.467(0.008),17.049(0.007),22.55(0.11),22.62(0.13),-2.12(0.21) 
J131228.22-013953.7,198.11761,-1.66493,0.082,11.38(0.10),15.788(0.004),15.359(0.003),20.68(0.04),20.32(0.03),-1.97(0.21) 
J131235.95-003547.4,198.14982,-0.59650,0.138,11.16(0.11),17.374(0.008),16.931(0.006),23.10(0.14),22.48(0.11),-2.26(0.21) 
J131243.76+014033.6,198.18236,1.67602,0.138,11.34(0.11),16.671(0.005),16.283(0.005),21.75(0.07),21.35(0.06),-2.03(0.21) 
J131247.88+013819.0,198.19951,1.63862,0.138,11.31(0.10),16.621(0.005),16.370(0.005),21.05(0.11),21.05(0.05),-1.82(0.20) 
J131254.73+010209.5,198.22808,1.03598,0.072,11.59(0.11),14.848(0.002),14.420(0.002),20.77(0.04),20.65(0.04),-2.43(0.21) 
J131308.91-021833.3,198.28715,-2.30925,0.122,11.40(0.11),16.373(0.005),15.880(0.004),22.23(0.12),22.67(0.15),-2.49(0.22) 
J131316.56+021446.7,198.31906,2.24633,0.138,11.34(0.10),17.084(0.007),16.614(0.005),23.65(0.17),99.00(99.00),-2.98(0.22) 
J131323.67+005730.5,198.34864,0.95850,0.071,11.30(0.09),15.460(0.003),15.038(0.003),22.68(0.10),23.14(0.13),-3.03(0.22) 
J131332.87-020313.5,198.38703,-2.05377,0.136,11.23(0.10),16.556(0.005),16.688(0.006),19.01(0.02),22.99(0.18),-1.31(0.15) 
J131339.42+043716.2,198.41426,4.62118,0.134,11.27(0.10),16.711(0.006),16.283(0.005),22.23(0.11),22.23(0.11),-2.29(0.21) 
J131351.19+042747.4,198.46335,4.46319,0.134,11.16(0.11),17.097(0.007),16.709(0.006),21.39(0.06),21.55(0.07),-1.82(0.20) 
J131353.00+025640.8,198.47087,2.94469,0.134,11.33(0.12),16.558(0.005),16.123(0.004),22.48(0.11),22.05(0.09),-2.37(0.21) 
J131400.27-002102.3,198.50114,-0.35066,0.121,11.24(0.12),16.753(0.006),16.350(0.005),21.69(0.07),21.61(0.07),-2.04(0.21) 
J131402.03+031644.1,198.50846,3.27894,0.113,11.94(0.15),15.698(0.003),15.219(0.003),19.19(0.02),19.03(0.02),-1.47(0.17) 
J131405.96+031326.6,198.52486,3.22408,0.114,11.22(0.13),16.537(0.005),16.111(0.004),20.75(0.04),20.16(0.04),-1.66(0.19) 
J131506.91-012306.9,198.77885,-1.38524,0.120,11.53(0.10),16.160(0.004),15.680(0.003),21.49(0.06),21.00(0.05),-2.13(0.21) 
J131513.06-010213.3,198.80445,-1.03705,0.114,11.29(0.13),16.744(0.006),16.271(0.005),21.63(0.06),21.25(0.06),-1.98(0.21) 
J131518.68-013408.2,198.82785,-1.56892,0.120,11.17(0.14),16.773(0.006),16.345(0.005),21.67(0.07),21.63(0.07),-2.03(0.21) 
J131531.85-013412.1,198.88278,-1.57002,0.140,11.15(0.16),17.209(0.007),16.741(0.006),21.00(0.04),20.28(0.03),-1.48(0.17) 
J131543.36+010329.7,198.93070,1.05825,0.112,11.06(0.14),17.281(0.007),16.821(0.006),21.65(0.06),21.44(0.06),-1.80(0.20) 
J131553.54+000925.0,198.97311,0.15695,0.082,11.05(0.10),16.452(0.005),15.988(0.004),22.57(0.11),22.45(0.11),-2.51(0.22) 
J131556.12+031629.4,198.98384,3.27486,0.113,11.44(0.12),16.396(0.005),15.932(0.004),22.32(0.10),22.32(0.10),-2.45(0.22) 
J131620.14+005147.8,199.08394,0.86329,0.078,11.14(0.10),15.878(0.004),15.436(0.003),21.51(0.06),21.07(0.06),-2.26(0.21) 
J131624.13+005134.8,199.10059,0.85967,0.079,11.23(0.12),15.902(0.004),15.425(0.003),20.88(0.04),20.31(0.03),-1.98(0.21) 
J131625.24-015519.6,199.10518,-1.92211,0.143,11.23(0.12),16.912(0.006),16.505(0.005),21.86(0.08),22.69(0.13),-2.16(0.21) 
J131632.56+005212.9,199.13570,0.87025,0.080,11.54(0.10),15.001(0.003),14.550(0.002),19.58(0.02),18.62(0.01),-1.73(0.19) 
J131642.58+034747.6,199.17745,3.79657,0.133,11.53(0.11),16.436(0.005),16.011(0.004),21.65(0.07),22.11(0.09),-2.23(0.21) 
J131712.63+040026.4,199.30263,4.00739,0.132,11.34(0.13),16.618(0.005),16.243(0.004),22.39(0.10),21.88(0.08),-2.28(0.21) 
J131718.97-000745.1,199.32903,-0.12919,0.111,11.05(0.11),16.961(0.006),16.524(0.005),23.16(0.15),22.43(0.10),-2.42(0.21) 
J131722.89-013256.0,199.34541,-1.54888,0.139,11.33(0.12),16.980(0.006),16.566(0.005),22.10(0.08),21.87(0.08),-2.09(0.21) 
J131745.59+041919.4,199.43998,4.32209,0.145,11.13(0.13),17.342(0.008),16.940(0.006),21.26(0.06),21.02(0.05),-1.61(0.19) 
J131749.10-011213.5,199.45460,-1.20374,0.142,11.54(0.12),16.371(0.005),15.932(0.004),21.85(0.07),21.67(0.07),-2.24(0.21) 
J131753.88+015303.9,199.47455,1.88443,0.128,11.16(0.12),17.282(0.007),16.876(0.006),22.81(0.13),22.88(0.15),-2.30(0.21) 
J131759.65-021023.8,199.49860,-2.17326,0.114,11.42(0.13),16.011(0.004),15.608(0.003),21.85(0.09),20.72(0.05),-2.17(0.21) 
J131810.27+044820.6,199.54284,4.80573,0.114,11.16(0.11),16.948(0.006),16.534(0.005),23.04(0.16),23.67(0.22),-2.60(0.22) 
J131810.30-000101.4,199.54294,-0.01706,0.138,11.16(0.10),17.387(0.008),16.929(0.006),23.23(0.14),24.21(0.25),-2.54(0.22) 
J131811.53+010136.7,199.54810,1.02686,0.110,11.05(0.12),17.049(0.006),16.618(0.005),21.52(0.06),21.32(0.05),-1.84(0.20) 
J131812.26-013408.4,199.55112,-1.56900,0.118,11.15(0.12),16.993(0.006),16.486(0.005),99.00(99.00),23.45(0.18),-3.09(0.22) 
J131818.09+023155.7,199.57539,2.53215,0.133,11.30(0.13),17.381(0.008),16.941(0.006),22.58(0.11),22.32(0.10),-2.12(0.21) 
J131823.55-003146.2,199.59813,-0.52949,0.112,12.13(0.11),14.773(0.002),14.337(0.002),20.05(0.03),19.71(0.03),-2.13(0.21) 
J131847.47-002321.8,199.69780,-0.38934,0.138,11.14(0.14),17.153(0.007),16.740(0.006),22.15(0.08),22.05(0.08),-2.06(0.21) 
J131858.48+041706.8,199.74367,4.28527,0.147,11.04(0.12),17.543(0.009),17.143(0.007),23.39(0.17),24.07(0.29),-2.50(0.22) 
J131921.41+025050.5,199.83924,2.84737,0.134,11.34(0.14),16.997(0.006),16.511(0.005),21.99(0.08),21.31(0.06),-1.96(0.20) 
J131923.26+021058.7,199.84692,2.18299,0.136,11.02(0.15),17.429(0.008),17.028(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J131929.85-010843.6,199.87440,-1.14545,0.139,11.80(0.11),15.869(0.004),15.461(0.003),19.86(0.03),20.10(0.03),-1.72(0.19) 
J131939.20+040702.4,199.91335,4.11735,0.133,11.23(0.14),16.653(0.005),16.285(0.005),20.54(0.04),20.21(0.03),-1.57(0.18) 
J131958.49+032623.7,199.99370,3.43993,0.097,11.31(0.23),16.212(0.004),15.768(0.004),20.12(0.03),19.73(0.03),-1.58(0.18) 
J131958.86+002341.5,199.99530,0.39489,0.140,11.30(0.13),16.841(0.006),16.437(0.005),21.47(0.06),21.37(0.06),-1.91(0.20) 
J132007.49+011128.1,200.03121,1.19115,0.139,11.06(0.11),17.412(0.008),17.039(0.007),23.22(0.14),23.21(0.15),-2.39(0.21) 
J132010.60+032356.2,200.04415,3.39897,0.145,11.20(0.18),17.203(0.007),16.784(0.006),22.97(0.14),21.88(0.10),-2.15(0.21) 
J132012.11+042222.3,200.05050,4.37291,0.147,11.11(0.10),17.785(0.009),17.302(0.007),23.86(0.19),22.46(0.11),-2.21(0.21) 
J132016.21+034112.0,200.06758,3.68670,0.145,11.28(0.15),17.060(0.007),16.596(0.005),22.14(0.09),23.27(0.18),-2.25(0.21) 
J132017.91+003224.5,200.07458,0.53999,0.138,11.47(0.12),16.295(0.005),15.892(0.004),18.36(0.01),17.83(0.01),-0.86(0.03) 
J132020.25+004905.0,200.08441,0.81809,0.139,11.17(0.11),16.976(0.006),16.574(0.005),22.18(0.08),21.66(0.07),-2.06(0.21) 
J132022.45+005810.5,200.09356,0.96958,0.147,11.68(0.09),16.188(0.004),15.771(0.004),22.22(0.08),21.70(0.06),-2.39(0.21) 
J132027.44+042129.2,200.11436,4.35816,0.134,11.24(0.17),17.645(0.009),17.184(0.007),23.24(0.16),23.00(0.16),-2.28(0.21) 
J132036.74+023823.0,200.15311,2.63974,0.147,11.17(0.15),17.393(0.008),17.071(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J132044.80+013147.4,200.18664,1.52982,0.110,11.14(0.14),16.670(0.006),16.292(0.005),21.94(0.08),21.59(0.07),-2.12(0.21) 
J132049.48+011915.0,200.20621,1.32087,0.147,11.19(0.12),17.380(0.008),17.019(0.007),23.19(0.15),23.67(0.21),-2.46(0.22) 
J132100.49+011609.3,200.25208,1.26929,0.148,11.20(0.15),16.541(0.005),16.162(0.004),20.61(0.04),20.18(0.03),-1.63(0.19) 
J132108.50-013748.7,200.28546,-1.63018,0.140,11.39(0.10),16.775(0.006),16.349(0.005),20.59(0.04),20.23(0.03),-1.55(0.18) 
J132111.03+011831.8,200.29597,1.30883,0.138,11.20(0.11),17.182(0.007),16.771(0.006),23.92(0.19),22.94(0.14),-2.57(0.22) 
J132111.13-004308.4,200.29638,-0.71903,0.107,11.07(0.11),16.828(0.006),16.431(0.005),23.14(0.13),23.89(0.21),-2.70(0.22) 
J132115.86-011517.7,200.31611,-1.25501,0.108,11.40(0.15),16.462(0.005),16.031(0.004),20.58(0.04),20.22(0.03),-1.67(0.19) 
J132121.08-004240.4,200.33785,-0.71124,0.110,11.11(0.12),16.794(0.006),16.407(0.005),23.04(0.12),22.15(0.09),-2.39(0.21) 
J132128.00+044051.4,200.36672,4.68098,0.134,11.40(0.12),16.597(0.005),16.168(0.004),20.40(0.04),20.39(0.04),-1.61(0.19) 
J132137.56-012140.8,200.40654,-1.36135,0.086,11.08(0.10),16.333(0.005),15.920(0.004),22.88(0.12),22.55(0.12),-2.64(0.22) 
J132140.22+032651.3,200.41757,3.44762,0.146,11.25(0.13),17.010(0.006),16.524(0.005),20.39(0.04),19.92(0.03),-1.37(0.16) 
J132146.77-014555.8,200.44489,-1.76549,0.100,11.85(0.11),14.986(0.003),14.559(0.002),19.94(0.03),19.56(0.03),-2.00(0.21) 
J132148.38+014137.1,200.45164,1.69364,0.137,11.51(0.14),16.158(0.004),15.767(0.004),21.99(0.08),21.39(0.06),-2.29(0.21) 
J132152.37-013145.6,200.46826,-1.52933,0.100,11.64(0.13),15.745(0.004),15.307(0.003),19.41(0.02),19.19(0.02),-1.52(0.18) 
J132155.79-003819.2,200.48248,-0.63866,0.108,11.61(0.13),16.035(0.004),15.589(0.003),21.47(0.06),21.25(0.05),-2.22(0.21) 
J132156.65-012011.1,200.48608,-1.33641,0.110,11.04(0.14),17.128(0.007),16.699(0.006),22.16(0.08),21.61(0.08),-1.99(0.21) 
J132157.66+030539.0,200.49026,3.09419,0.113,11.64(0.12),15.723(0.004),15.262(0.003),21.56(0.06),21.75(0.09),-2.45(0.21) 
J132157.85+034801.1,200.49107,3.80033,0.113,11.25(0.09),16.660(0.005),16.196(0.004),22.20(0.10),22.51(0.12),-2.35(0.21) 
J132202.85-012012.2,200.51190,-1.33673,0.083,11.06(0.12),16.155(0.004),15.725(0.004),21.32(0.05),20.72(0.04),-2.04(0.21) 
J132213.62-015443.3,200.55680,-1.91205,0.139,11.50(0.11),16.413(0.005),15.976(0.004),23.17(0.15),22.13(0.11),-2.57(0.22) 
J132216.65+040040.4,200.56938,4.01126,0.114,11.19(0.14),16.209(0.004),15.842(0.004),21.03(0.05),21.23(0.07),-2.03(0.21) 
J132220.28+041114.3,200.58453,4.18733,0.133,11.33(0.13),16.516(0.005),16.098(0.004),23.08(0.13),22.36(0.12),-2.56(0.22) 
J132221.95-015622.7,200.59149,-1.93964,0.108,11.08(0.17),16.839(0.006),16.379(0.005),22.24(0.09),23.98(0.31),-2.41(0.21) 
J132223.38-015028.2,200.59743,-1.84119,0.107,11.20(0.11),16.607(0.005),16.200(0.004),21.94(0.08),21.29(0.07),-2.09(0.21) 
J132223.73-014847.7,200.59889,-1.81328,0.084,11.09(0.10),16.298(0.005),15.907(0.004),22.14(0.09),21.81(0.09),-2.35(0.21) 
J132242.23+000132.6,200.67601,0.02575,0.106,11.06(0.11),16.797(0.006),16.374(0.005),23.15(0.13),24.13(0.24),-2.74(0.22) 
J132246.53+010343.1,200.69390,1.06199,0.142,11.23(0.12),17.095(0.007),16.696(0.006),23.48(0.15),23.76(0.19),-2.67(0.22) 
J132249.28+001841.2,200.70535,0.31148,0.106,11.07(0.15),16.590(0.005),16.170(0.004),21.75(0.07),21.22(0.06),-2.05(0.21) 
J132314.57+024542.3,200.81073,2.76176,0.137,11.32(0.15),17.051(0.007),16.577(0.006),23.27(0.15),22.90(0.17),-2.51(0.22) 
J132315.39+010906.4,200.81415,1.15180,0.111,11.02(0.12),17.185(0.007),16.751(0.006),23.14(0.13),22.69(0.12),-2.38(0.21) 
J132327.15+014459.8,200.86315,1.74996,0.105,11.15(0.20),16.376(0.005),15.917(0.004),21.20(0.05),21.16(0.05),-2.01(0.21) 
J132340.25-013914.3,200.91774,-1.65399,0.084,11.07(0.10),16.353(0.005),15.919(0.004),23.96(0.20),24.63(0.35),-3.21(0.22) 
J132342.05+011105.5,200.92523,1.18487,0.079,11.07(0.14),16.137(0.004),15.714(0.004),22.70(0.12),21.98(0.09),-2.56(0.22) 
J132346.48+023112.6,200.94369,2.52015,0.146,11.06(0.17),17.486(0.008),17.052(0.007),22.79(0.13),23.73(0.25),-2.32(0.21) 
J132347.76+015914.3,200.94904,1.98730,0.137,11.20(0.12),17.085(0.007),16.654(0.006),22.68(0.12),22.29(0.11),-2.25(0.21) 
J132415.28+015711.6,201.06371,1.95325,0.111,11.09(0.14),16.551(0.005),16.151(0.004),20.17(0.03),19.86(0.03),-1.48(0.17) 
J132439.30+004802.6,201.16384,0.80074,0.108,11.08(0.14),16.854(0.006),16.481(0.005),22.61(0.11),21.97(0.08),-2.25(0.21) 
J132444.14+014456.4,201.18397,1.74901,0.111,11.38(0.11),16.108(0.004),15.671(0.003),22.04(0.09),21.24(0.06),-2.30(0.21) 
J132445.38+002804.3,201.18912,0.46789,0.106,11.06(0.11),16.897(0.006),16.505(0.005),22.67(0.10),22.12(0.08),-2.28(0.21) 
J132446.08-012540.7,201.19205,-1.42796,0.083,11.00(0.12),16.604(0.005),16.199(0.004),22.81(0.12),23.11(0.15),-2.60(0.22) 
J132516.67+025352.5,201.31947,2.89796,0.141,11.21(0.13),17.157(0.007),16.711(0.006),22.25(0.09),21.65(0.09),-2.01(0.21) 
J132529.25-015517.8,201.37189,-1.92162,0.085,11.36(0.12),16.073(0.004),15.617(0.003),21.95(0.09),22.31(0.12),-2.48(0.22) 
J132529.34+010404.7,201.37227,1.06799,0.110,11.39(0.10),16.133(0.004),15.737(0.004),20.98(0.05),21.15(0.05),-2.04(0.21) 
J132544.25+022142.9,201.43439,2.36193,0.139,11.15(0.13),17.588(0.009),17.120(0.007),24.54(0.30),24.01(0.30),-2.77(0.22) 
J132545.44-020036.8,201.43933,-2.01022,0.087,11.46(0.10),15.499(0.003),15.142(0.003),20.55(0.04),22.41(0.11),-2.27(0.21) 
J132545.84-012234.5,201.44103,-1.37625,0.084,11.04(0.10),16.409(0.005),16.007(0.004),22.99(0.12),22.68(0.10),-2.65(0.22) 
J132547.81-001454.0,201.44924,-0.24836,0.083,11.23(0.10),15.847(0.004),15.436(0.003),21.00(0.04),20.56(0.04),-2.06(0.21) 
J132551.15+010824.4,201.46316,1.14013,0.080,11.06(0.12),16.053(0.004),15.672(0.003),22.53(0.10),22.50(0.10),-2.66(0.22) 
J132603.05+020032.6,201.51275,2.00908,0.136,11.04(0.12),17.530(0.008),17.048(0.007),24.19(0.24),22.84(0.13),-2.46(0.22) 
J132607.58+001048.8,201.53161,0.18024,0.082,11.15(0.12),16.280(0.005),15.904(0.004),22.16(0.08),22.17(0.09),-2.43(0.21) 
